Name;Description
Sorting Algorithms;Algorithms for sorting data structures
Data Structures;Implementation of various data structures
Object-Oriented Programming;OOP concepts and design patterns
Recursion;Recursive problem-solving techniques
String Manipulation;Working with strings and text processing
Arrays and Lists;Array and list operations
Algorithms;General algorithm implementations
Database Operations;SQL and database programming
Web Development;Web application development tasks
File I/O;File input/output operations
